name,acres,lon,lat,reporter,cause
BOUNDARY,537627.0,-146.8858,65.2663,Alaska Fire Service,Natural
DALL CITY,483280.0,-149.8843,66.3029,Alaska Fire Service,Natural
BILLY CK,463994.0,-143.819,63.8163,Alaska Fire Service,Natural
NORTH DAG,419884.0,-152.2315,65.7467,Alaska Fire Service,Natural
PINGO,403993.0,-146.3702,67.2071,Alaska Fire Service,Natural
WINTER TRAILL,344833.0,-145.346,66.9597,Alaska Fire Service,Natural
CHICKEN 1,320155.0,-142.0023,64.0163,Alaska Fire Service,Natural
PORCUPINE,284595.0,-142.6689,63.4497,Alaska Fire Service,Natural
BONANZA CK,265919.9,-157.1933,64.4677,Alaska Fire Service,Natural
EDWARDSCR,243900.0,-143.1724,65.5169,Alaska Fire Service,Natural
PREACHER CREEK,243254.0,-145.0525,65.983,Alaska Fire Service,Natural
WOLF CREEK,214868.7,-145.0594,65.2782,Alaska Fire Service,Natural
BOLGEN CREEK,201894.0,-144.3547,65.713,Alaska Fire Service,Natural
CAMP CREEK,175815.0,-145.16669998,64.33333999,Delta Area,Natural
HODZANA RV,163239.0,-148.836,66.7329,Alaska Fire Service,Natural
EVANSVILLE,135627.0,-151.5027,66.9112,Alaska Fire Service,Natural
GARDINER C,125643.0,-141.3355,63.083,Alaska Fire Service,Natural
WILLOW,119500.0,-111.60472222,34.08111111,Tonto National Forest,Natural
CLAWANMENK,108577.0,-151.4143,66.5245,Alaska Fire Service,Natural
DEER CREEK,103092.0,-141.984,64.898,Alaska Fire Service,Natural
BIG YETNA,98418.4,-158.7524,62.7993,Alaska Fire Service,Natural
FT HAMLIN,97615.0,-149.4879,65.914,Alaska Fire Service,Natural
WALLSTREET,89279.0,-141.6856,64.0663,Alaska Fire Service,Natural
LOWER MOUT,87413.0,-146.2395,66.346,Alaska Fire Service,Natural
NATION RIV,66832.0,-141.524,65.193,Alaska Fire Service,Natural
KANDIK RIV,65990.0,-141.5246,65.6439,Alaska Fire Service,Natural
PEPPIN,64488.0,-105.43333333,33.60138889,Lincoln National Forest,Natural
BOULDER CK,63057.0,-143.486,67.4497,Alaska Fire Service,Natural
CRAZY,52056.0,-145.2705,65.7699,Alaska Fire Service,Natural
GRAYLINGFK,48307.0,-142.2859,66.2164,Alaska Fire Service,Natural
LUCKY CK,48232.0,-141.719,64.2997,Alaska Fire Service,Natural
KING CREEK,40599.0,-141.3856,64.3997,Alaska Fire Service,Natural
RUMSEY                   ,39138.0,-122.27388888,38.91611111,Sonoma-Lake Napa Unit,Missing data/not specified/undetermined
ROCK CR,37363.0,-145.405,65.8235,Alaska Fire Service,Natural
IMPASABLE 1,34660.0,-82.48333333,30.35833333,National Forests in Florida,Debris and open burning
MUD FORK,33952.0,-149.0867,65.5001,Alaska Fire Service,Natural
TORS,30408.0,-146.16669998,64.91665998,Fairbanks Area,Natural
MIDBIRCH C,30294.0,-144.3692,65.9997,Alaska Fire Service,Natural
DEEP HARBOR,29700.0,-120.51972222,48.085,Okanogan-Wenatchee National Forest,Natural
HAT LIE LA,29680.0,-145.3145,66.3521,Alaska Fire Service,Natural
NUTTALL,29400.0,-109.99055556,32.73861111,Coronado National Forest,Natural
INDIAN GRA,26610.0,-141.3596,65.5861,Alaska Fire Service,Natural
EAST FORK,26279.0,-84.6,30.13333333,National Forests in Florida,Arson/incendiarism
RUNT FORK,24120.0,-141.297,66.2247,Alaska Fire Service,Natural
LOUIS LAKE,22193.0,-157.2548,65.2413,Alaska Fire Service,Natural
LSNOHOMISH,21719.0,-152.5357,63.7828,Alaska Fire Service,Natural
THE MICCOSUKEE FIRE,20200.0,-80.47305001,25.74917002,Florida Forest Service,Natural
AMMERMAN M,19815.0,-141.1593,68.4284,Alaska Fire Service,Natural
ANOMALY,19667.0,-142.7189,63.9163,Alaska Fire Service,Natural
SQUARE,18235.0,-113.9425,37.3278,Cedar City Field Office,Natural
PINES,17418.0,-118.65527778,34.73666667,Angeles National Forest,Missing data/not specified/undetermined
NORUTAKH 2,17397.0,-154.5565,66.6414,Alaska Fire Service,Natural
POT PEAK,17226.0,-120.31527778,47.93888889,Okanogan-Wenatchee National Forest,Natural
