id,value,anomaly
101,77.7333,0.2967
102,77.5,0.2543
103,78.9667,-0.0557
104,78.2333,0.3277
105,78.0667,0.4017
106,79.8667,0.041
107,79.8667,-0.0447
108,80.7333,0.3167
201,82.4667,2.3383
202,71.6667,1.6977
203,77.8,2.281
204,76.7667,0.9903
205,91.3333,2.875
206,88.4667,2.1937
207,79.3667,0.5687
301,74.7333,-0.9003
302,75.9667,-0.417
303,78.8667,0.3223
304,77.6,-0.4783
305,79.3667,0.0237
306,80.0333,0.079
307,79.5667,-0.0533
308,80.2333,0.0667
309,80.3333,0.0767
401,65.7667,1.3323
402,71.0667,2.0593
403,63.3667,2.0553
404,69.3333,2.3027
405,74.3,2.722
406,72.4333,3.1507
407,85.0667,3.0707
501,69.8667,0.8033
502,62.2333,1.304
503,71.9,0.488
504,65.4667,0.9887
505,58.2,0.7033
601,68.2333,1.6593
602,70.0333,1.6473
603,71.2,1.756
701,75.1667,2.0943
702,75.4,2.0263
801,80.5667,0.223
802,80.7,0.6473
803,81.0667,0.626
804,81.0667,0.4403
805,82.1667,0.972
806,81.9333,1.0243
807,83.5,1.441
901,77.1,0.0613
902,75.8333,0.22
903,77.6,0.692
904,78.3,0.3947
905,79.9333,0.691
906,80.5667,1.2787
907,80.2333,0.281
908,80.4333,0.6823
909,81.1333,0.9803
1001,60.1,-0.09
1002,62.0,-0.018
1003,65.4667,0.358
1004,58.4333,0.363
1005,70.9,1.028
1006,66.2333,1.0837
1007,68.1333,1.175
1008,59.1667,1.2653
1009,65.3333,1.1013
1010,63.0333,1.1693
1101,71.0333,-0.2177
1102,71.1667,0.195
1103,72.6667,-1.049
1104,72.6,-0.3013
1105,72.2667,-0.0307
1106,74.0667,-0.643
1107,74.0667,-0.253
1108,75.8333,-0.101
1109,75.7,-0.134
1201,71.0667,-0.0397
1202,70.8667,0.0167
1203,70.9667,0.321
1204,72.1667,-0.5117
1205,71.7667,-0.5897
1206,71.0667,-0.346
1207,74.8333,-0.0453
1208,73.6,-0.202
1209,73.1333,-0.2753
1301,70.2333,-0.239
1302,69.5333,-0.4467
1303,69.2,-0.4233
1304,71.0667,-0.5843
1305,70.7333,-0.836
1306,70.9667,-0.5417
1307,72.5,-0.5427
1308,71.7,-1.3633
1309,71.9667,-1.2033
1401,73.8333,-0.1797
1402,75.0667,-1.027
1403,74.7333,-0.906
1404,75.1667,0.0663
1405,76.3333,-0.8407
1406,75.5667,-0.8707
1407,76.7667,0.0957
1408,77.6333,-0.5863
1409,76.6,-1.1683
1501,76.9,0.296
1502,75.1,0.1317
1503,73.7,0.0003
1504,72.6667,-0.5253
1601,81.9,0.8177
1602,81.4333,1.0607
1603,81.2,0.501
1604,81.8667,1.088
1605,81.9333,0.6433
1606,81.1333,0.4877
1607,82.1333,0.443
1608,81.6667,0.4033
1609,82.0333,0.6497
1701,62.7,1.279
1702,65.6,1.1833
1703,65.3333,1.418
1801,75.7,1.5207
1802,75.8667,1.5183
1803,76.1333,1.416
1804,76.1,1.6947
1805,75.7667,1.761
1806,74.0333,1.4937
1807,71.9333,0.5663
1808,65.8333,-0.1317
1901,66.8,1.6227
1902,69.1667,1.5253
1903,70.1333,2.2827
2001,63.0333,0.7447
2002,63.0667,0.7483
2003,65.9,1.4137
2004,65.7,1.2543
2005,66.8667,0.4417
2006,67.6,0.7717
2007,68.1,0.7747
