name,acres,lon,lat,reporter,cause
WALLOW,538049.0,-109.44972222,33.60611111,Apache-Sitgreaves National Forest,Recreation and ceremony
ROCKHOUSE FIRE,314444.0,-104.04602222,30.84951667,Texas A & M Forest Service,Missing data/not specified/undetermined
HONEY PRAIRIE,309200.0,-82.36861,30.72972,Okefenokee National Wildlife Refuge,Natural
HORSESHOE 2,222954.0,-109.21111111,31.81972222,Coronado National Forest,Missing data/not specified/undetermined
DEATON COLE FIRE,175000.0,-101.24716666,30.1635,Texas A & M Forest Service,Missing data/not specified/undetermined
COOPER MOUNTAIN RANCH FIRE,162625.0,-100.81845,32.98708333,Texas A & M Forest Service,Natural
WILDCAT FIRE,158308.0,-100.61417269,31.80032466,Texas A & M Forest Service,Natural
LAS CONCHAS,156593.0,-106.536667,35.811667,New Mexico State Forestry Division,Power generation/transmission/distribution
PK COMPLEX,126734.0,-98.48091254,32.82916119,Texas A & M Forest Service,Natural
SWENSON FIRE,122500.0,-100.325,33.11793333,Texas A & M Forest Service,Equipment and vehicle use
INDIAN CREEK,110826.7,-116.2353,40.9486,Elko District Office,Natural
FRYING PAN FIRE,106027.0,-102.91733639,32.23739634,Texas A & M Forest Service,Missing data/not specified/undetermined
DONALDSON,101562.0,-105.237056,33.300667,New Mexico State Forestry Division,Natural
PAGAMI CREEK,92682.0,-91.52416667,47.90555556,Superior National Forest,Natural
DICKENS COMPLEX,89200.0,-100.69241222,33.60996575,Texas A & M Forest Service,Missing data/not specified/undetermined
MILLER,88835.0,-108.36869,33.14369,Gila Cliff Dwellings National Monument,Recreation and ceremony
IRON MOUNTAIN FIRE,87401.0,-103.16282763,30.44812428,Texas A & M Forest Service,Natural
SCHWARTZ FIRE,83995.0,-102.97613013,30.23763124,Texas A & M Forest Service,Natural
WHITE HAT FIRE,72473.0,-100.46018333,32.0782,Texas A & M Forest Service,Missing data/not specified/undetermined
DOF PRARIE FIRE,68295.0,-80.4694,25.8019,Everglades National Park,Natural
MURPHY,68079.0,-111.15777778,31.54055556,Coronado National Forest,Missing data/not specified/undetermined
BIG HILL,67061.0,-115.9073,42.6629,Boise District,Natural
TOM FIRE,65000.0,-102.2596667,32.4241667,Texas A & M Forest Service,Missing data/not specified/undetermined
ENTERPRISE,64936.0,-103.8006,33.0522,Roswell Field Office,Missing data/not specified/undetermined
CANNON COMPLEX,63427.0,-101.97604985,30.77548508,Texas A & M Forest Service,Natural
CRAWFORD RANCH,60000.0,-101.9164,35.6903,Lake Meredith National Recreation Area,Missing data/not specified/undetermined
EAST VOLKMAR,54217.0,-144.88,64.12,Alaska Fire Service,Natural
LAST CHANCE,53342.0,-104.7522,32.2325,Carlsbad Field Office,Recreation and ceremony
0655 RAZOR BACK EAST,51384.0,-121.0789,45.0369,Prineville District,Natural
T17,50176.0,-112.802778,43.651667,Idaho National Laboratory,Missing data/not specified/undetermined
CHUKKAR CANYON,48671.9,-116.3664,40.7872,Elko District Office,Natural
PAINS BAY FIRE,45294.0,-75.800312,35.597221,Alligator River National Wildlife Refuge,Natural
IZZENHOOD,42156.7,-116.9767,41.0469,Elko District Office,Natural
BEAR CREEK FIRE,41050.0,-94.4307,32.9731333,Texas A & M Forest Service,Missing data/not specified/undetermined
ROPER FIRE,41000.0,-103.623445,30.371712,Texas A & M Forest Service,Smoking
MATADOR WEST COMPLEX FIRE,41000.0,-101.01125634,33.97085185,Texas A & M Forest Service,Missing data/not specified/undetermined
STANTON COUNTY,40000.0,-102.036,37.654,Kansas Counties,Missing data/not specified/undetermined
FERGUSON,39907.0,-98.61333333,34.71111111,Wichita Mountains National Wildlife Refuge,Equipment and vehicle use
BLAIR,39577.0,-115.2981,43.07248,Boise District,Natural
DISH MOUNTAIN,38510.0,-157.35,63.116666,Southwest Area,Natural
JARHEAD,38131.0,-81.0714,25.9728,Big Cypress National Preserve,Natural
BEAR SPRINGS,35583.0,-103.8375,37.566667,Fort Carson Army Base,Natural
BATON ROUGE COMPLEX,35165.0,-105.0014,33.2217,Roswell Field Office,Natural
LITTLE FORK,34550.0,-106.18138889,45.16944444,Custer Gallatin National Forest,Natural
EDEN VALLEY,34484.7,-117.41,41.0967,Winnemucca District Office,Natural
