id,value
101,11.89
102,11.61
103,10.02
104,10.57
105,10.23
106,9.46
107,12.04
108,14.1
201,1.16
202,3.05
203,2.52
204,4.96
205,1.33
206,1.81
207,5.5
301,7.46
302,8.05
303,8.04
304,8.12
305,9.79
306,9.35
307,4.38
308,7.08
309,8.9
401,2.04
402,2.11
403,2.38
404,0.51
405,1.14
406,0.32
407,0.73
501,4.99
502,4.22
503,7.26
504,6.44
505,3.28
601,21.08
602,20.06
603,18.21
701,19.64
702,14.47
801,14.45
802,16.12
803,20.83
804,20.65
805,20.84
806,19.59
807,18.14
901,9.18
902,9.76
903,8.36
904,9.38
905,9.11
906,10.03
907,12.08
908,11.77
909,13.56
1001,3.31
1002,4.03
1003,3.64
1004,3.7
1005,1.23
1006,1.72
1007,0.72
1008,3.42
1009,2.15
1010,4.05
1101,13.19
1102,14.12
1103,11.85
1104,9.72
1105,8.77
1106,12.01
1107,12.0
1108,13.23
1109,14.78
1201,12.59
1202,10.59
1203,8.14
1204,9.42
1205,9.93
1206,8.64
1207,12.47
1208,11.04
1209,10.71
1301,11.79
1302,10.53
1303,12.75
1304,12.55
1305,11.09
1306,12.31
1307,15.1
1308,15.74
1309,12.89
1401,10.98
1402,13.77
1403,14.31
1404,9.09
1405,8.49
1406,8.08
1407,4.14
1408,5.3
1409,7.43
1501,11.08
1502,10.58
1503,11.86
1504,12.56
1601,4.27
1602,7.4
1603,7.12
1604,7.03
1605,9.17
1606,14.88
1607,13.21
1608,15.4
1609,17.85
1701,17.06
1702,13.33
1703,11.99
1801,16.58
1802,16.02
1803,17.01
1804,15.98
1805,15.77
1806,13.95
1807,8.79
1808,11.77
1901,20.59
1902,18.32
1903,13.78
2001,7.98
2002,8.31
2003,8.91
2004,9.6
2005,10.44
2006,11.43
2007,9.65
2008,12.13
2009,11.5
2010,10.13
2101,8.81
2102,10.27
2103,10.5
2104,13.13
2105,13.44
2106,14.32
2107,12.0
2108,11.77
2109,12.25
2201,9.72
2202,9.41
2203,9.48
2204,8.81
2205,11.67
2206,9.79
2207,10.18
2208,12.82
2209,14.02
2210,16.72
2301,13.23
2302,11.13
2303,9.4
2304,8.08
2305,10.55
2306,7.53
2401,5.31
2402,5.42
2403,5.13
2404,5.61
2405,4.49
2406,7.25
2407,5.25
2501,7.9
2502,12.77
2503,11.06
2505,10.21
2506,12.91
2507,10.39
2508,12.41
2509,13.76
2601,1.13
2602,1.61
2603,1.23
2604,0.83
2701,15.4
2702,16.64
2801,23.85
2802,23.07
2803,20.93
2901,3.13
2902,4.59
2903,3.79
2904,5.58
2905,3.04
2906,4.45
2907,1.84
2908,3.7
3001,9.14
3002,18.47
3003,14.93
3004,18.11
3005,20.48
3006,15.58
3007,14.83
3008,12.44
3009,10.08
3010,9.66
3101,12.13
3102,10.98
3103,10.05
3104,11.01
3105,11.35
3106,15.31
3107,20.75
3108,20.41
3201,7.77
3202,9.26
3203,8.84
3204,8.45
3205,12.98
3206,13.29
3207,7.43
3208,11.08
3209,14.31
3301,8.9
3302,12.44
3303,12.96
3304,8.68
3305,12.22
3306,12.31
3307,14.17
3308,10.04
3309,10.83
3310,13.56
3401,3.9
3402,6.01
3403,7.44
3404,3.86
3405,4.43
3406,5.18
3407,1.74
3408,1.9
3409,3.83
3501,3.05
3502,3.12
3503,3.19
3504,4.54
3505,1.56
3506,1.7
3507,1.45
3508,2.54
3509,1.52
3601,20.83
3602,19.4
3603,17.73
3604,11.26
3605,13.01
3606,12.05
3607,10.43
3608,9.79
3609,12.36
3610,10.23
3701,15.32
3801,11.38
3802,8.7
3803,9.85
3804,12.12
3805,8.85
3806,10.91
3807,12.23
3901,7.71
3902,10.69
3903,11.96
3904,7.47
3905,7.8
3906,11.95
3907,9.9
3908,13.21
3909,10.06
4001,11.4
4002,12.0
4003,9.93
4004,8.98
4101,2.0
4102,1.39
4103,2.38
4104,3.91
4105,1.66
4106,1.71
4107,2.49
4108,6.09
4109,2.38
4110,5.61
4201,1.97
4202,0.88
4203,3.2
4204,3.95
4205,4.83
4206,4.69
4207,2.79
4301,16.76
4302,18.99
4303,21.55
4401,20.04
4402,14.19
4403,9.25
4404,9.3
4405,9.65
4406,10.63
4501,5.82
4502,2.12
4503,3.24
4504,4.49
4505,4.54
4506,1.92
4507,1.33
4508,0.8
4509,2.77
4510,1.53
4601,13.28
4602,14.16
4603,11.12
4604,12.11
4605,8.78
4606,10.09
4701,13.92
4702,12.65
4703,10.16
4704,13.31
4705,11.5
4706,10.33
4707,11.47
4708,9.71
4709,9.72
4801,4.66
4802,4.95
4803,2.8
4804,3.01
4805,3.71
4806,4.95
4807,4.32
4808,4.2
4809,2.08
4810,2.53
