name,acres,lon,lat,reporter,cause
COX'S WELL,206202.6,-113.2342,43.2171,Idaho Falls District,Natural
RICHFIELDS,178459.0,-114.0923,43.0716,Twin  Falls District,Natural
SIMNASHO,118230.0,-121.3512,44.9832,Warm Springs Agency,Equipment and vehicle use
HIGHWAY 58,106668.0,-120.42277778,35.42,Los Padres National Forest,Equipment and vehicle use
WASH,89148.9,-112.1191,39.628,Richfield Field Office,Natural
FORK,83323.0,-122.91666667,39.25833333,Mendocino National Forest,Arson/incendiarism
DUTCH FLAT,67643.0,-117.4843,41.1332,Winnemucca District Office,Natural
632321,66560.0,-146.369,63.9399,Alaska Fire Service,Arson/incendiarism
POWDERVILLE,62000.0,-105.115822,45.838158,Eastern Land Office,Natural
632482,59063.0,-151.9197,64.8661,Alaska Fire Service,Natural
LONE,58960.0,-111.33666667,33.70666667,Tonto National Forest,Recreation and ceremony
QUINN,58307.0,-117.565,41.97,Humboldt-Toiyabe National Forest,Natural
COLD CREEK,57520.0,-119.9178,46.5999,Spokane District,Missing data/not specified/undetermined
BOGUS CR,57160.0,-117.6343,43.0665,Vale District,Natural
BONER,53930.0,-105.6672,42.9,Casper Field Office,Natural
SALT CREEK,52600.0,-116.57194444,45.56555556,Wallowa-Whitman National Forest,Natural
TOWER,50633.0,-118.56666667,45.075,Umatilla National Forest,Natural
EBLACK MTN,48843.6,-107.734,43.65,Worland Field Office,Natural
631460  BI,48600.0,-143.6359,66.3361,Alaska Fire Service,Natural
TWIN,41862.7,-112.6269,38.6241,Richfield Field Office,Natural
42 MILE CR,41410.0,-147.9527,66.7663,Alaska Fire Service,Natural
SLENDER SM,39660.0,-146.6859,65.9496,Alaska Fire Service,Natural
631459,39116.0,-144.0344,65.5422,Alaska Fire Service,Natural
BATES,38858.0,-107.5673,43.55,Worland Field Office,Natural
SWET CREEK,38710.0,-114.75166667,45.57,Bitterroot National Forest,Natural
LTL SAHARA,37923.4,-112.2808,39.7058,Richfield Field Office,Natural
SUMMIT,37835.0,-118.64166667,44.77666667,Umatilla National Forest,Natural
601351MILL,37336.0,-149.8522,61.6161,Alaska Fire Service,Fireworks
SLAVEN II,35932.0,-116.8176,40.4332,Battle Mountain District Office,Natural
BRIDGER KNOLL,35907.0,-112.43833333,36.455,Kaibab National Forest,Natural
CIRC MOUNT,34665.0,-143.9858,65.7499,Alaska Fire Service,Natural
BLOODRUN2,33665.0,-117.7843,41.1166,Winnemucca District Office,Natural
DEADMAN IS,33490.0,-146.486,66.5663,Alaska Fire Service,Natural
COW HLW,31295.0,-117.2677,43.8499,Vale District,Natural
ROSBUD CK,30700.0,-106.2845,46.0144,Miles City Field Office,Natural
DIVISION,30450.0,-114.3417,41.6316,Elko District Office,Natural
FRENCHIE,29135.0,-116.2579,40.5274,Elko District Office,Natural
DAVIS KNOL,28540.0,-112.6675,40.1333,Salt Lake Field Office,Natural
LEAMINGTON,28442.0,-112.2244,39.5011,Richfield Field Office,Natural
BOBS FLAT,27972.2,-116.3676,40.6666,Elko District Office,Natural
GETCHELL,26598.0,-117.2676,41.2999,Winnemucca District Office,Natural
TRIANGLE FIRE,26294.0,-99.9361514,34.07899722,Texas A & M Forest Service,Missing data/not specified/undetermined
WILD,25620.0,-121.48333333,35.96833333,Los Padres National Forest,Arson/incendiarism
632469,25433.0,-151.3524,64.2661,Alaska Fire Service,Natural
3 CR. WELL,25315.0,-115.3592,42.2982,Boise District,Missing data/not specified/undetermined
SILVERHILL,25000.0,-112.9539,40.9022,Salt Lake Field Office,Natural
NOTCHBUTTE,24608.0,-115.1853,42.6513,Boise District,Equipment and vehicle use
DAMON/LONG,23398.0,-121.24666667,41.565,Modoc National Forest,Natural
CANYON CR.,23024.0,-115.9459,43.0616,Boise District,Natural
632521,22665.9,-143.5293,66.538,Alaska Fire Service,Natural
BROWNSGLCH,22374.0,-115.6354,42.8332,Boise District,Natural
ROGGE,22080.0,-120.1344,37.8999,Central California District,Natural
WHEELER POINT,22000.0,-119.87666667,44.96,Umatilla National Forest,Missing data/not specified/undetermined
MARPLE,22000.0,-118.64333333,34.525,Angeles National Forest,Arson/incendiarism
WMCAMT3,21367.0,-117.9443,41.0438,Winnemucca District Office,Natural
BUCKLE L FIRE,20354.0,-100.13334773,34.29589153,Texas A & M Forest Service,Missing data/not specified/undetermined
LINCOLN,20080.0,-118.7678,47.4999,Spokane District,Debris and open burning
