id,value,anomaly
101,76.4,-1.0367
102,76.5,-0.7457
103,77.9,-1.1223
104,77.0333,-0.8723
105,76.8667,-0.7983
106,79.0333,-0.7923
107,79.0667,-0.8447
108,80.0667,-0.35
201,83.7667,3.6383
202,72.7667,2.7977
203,78.7,3.181
204,78.4333,2.657
205,91.6333,3.175
206,89.3333,3.0603
207,80.9667,2.1687
301,74.3667,-1.267
302,76.1,-0.2837
303,78.1667,-0.3777
304,76.5,-1.5783
305,78.1333,-1.2097
306,79.3333,-0.621
307,77.7333,-1.8867
308,78.7333,-1.4333
309,79.5,-0.7567
401,66.6667,2.2323
402,71.7,2.6927
403,63.5667,2.2553
404,69.6333,2.6027
405,74.3667,2.7887
406,72.2333,2.9507
407,85.3667,3.3707
501,69.3333,0.27
502,63.5667,2.6373
503,71.2667,-0.1453
504,65.5333,1.0553
505,59.0,1.5033
601,67.2333,0.6593
602,68.9667,0.5807
603,69.8667,0.4227
701,72.9667,-0.1057
702,73.3333,-0.0403
801,79.8333,-0.5103
802,79.8667,-0.186
803,80.6,0.1593
804,81.2,0.5737
805,81.8333,0.6387
806,81.8,0.891
807,82.8,0.741
901,75.9,-1.1387
902,74.8,-0.8133
903,76.2,-0.708
904,77.2333,-0.672
905,78.6,-0.6423
906,78.8667,-0.4213
907,79.4333,-0.519
908,79.7667,0.0157
909,80.2,0.047
1001,61.0667,0.8767
1002,63.3,1.282
1003,66.4,1.2913
1004,59.6667,1.5963
1005,70.7333,0.8613
1006,66.7,1.5503
1007,68.4,1.4417
1008,60.3667,2.4653
1009,65.1333,0.9013
1010,63.6,1.736
1101,70.2667,-0.9843
1102,70.0,-0.9717
1103,72.3333,-1.3823
1104,71.9333,-0.968
1105,71.5667,-0.7307
1106,73.5667,-1.143
1107,73.8333,-0.4863
1108,75.1,-0.8343
1109,74.9,-0.934
1201,70.4,-0.7063
1202,70.2667,-0.5833
1203,70.4667,-0.179
1204,71.6,-1.0783
1205,71.4667,-0.8897
1206,71.0333,-0.3793
1207,74.1,-0.7787
1208,72.8667,-0.9353
1209,72.3667,-1.042
1301,69.1,-1.3723
1302,68.4333,-1.5467
1303,68.2,-1.4233
1304,70.0667,-1.5843
1305,70.0667,-1.5027
1306,70.4,-1.1083
1307,71.4667,-1.576
1308,71.2667,-1.7967
1309,71.9,-1.27
1401,72.7,-1.313
1402,74.7333,-1.3603
1403,74.1333,-1.506
1404,73.9667,-1.1337
1405,76.0333,-1.1407
1406,75.0667,-1.3707
1407,75.2333,-1.4377
1408,77.1333,-1.0863
1409,76.9333,-0.835
1501,75.4333,-1.1707
1502,73.8667,-1.1017
1503,72.7667,-0.933
1504,72.2667,-0.9253
1601,79.7,-1.3823
1602,79.1667,-1.206
1603,79.8333,-0.8657
1604,80.1667,-0.612
1605,80.4,-0.89
1606,80.2667,-0.379
1607,81.1,-0.5903
1608,80.9667,-0.2967
1609,81.2333,-0.1503
1701,62.1,0.679
1702,64.8,0.3833
1703,64.2667,0.3513
1801,73.8667,-0.3127
1802,74.2,-0.1483
1803,74.2667,-0.4507
1804,74.2333,-0.172
1805,74.0333,0.0277
1806,72.4333,-0.1063
1807,71.2,-0.167
1808,65.7667,-0.1983
1901,65.8333,0.656
1902,68.5,0.8587
1903,68.4,0.5493
2001,62.1667,-0.122
2002,62.0,-0.3183
2003,64.3333,-0.153
2004,64.1667,-0.279
2005,65.4333,-0.9917
2006,66.6667,-0.1617
2007,67.2333,-0.092
2008,68.7,-0.4383
2009,68.6,-0.2597
2010,69.1,0.1753
2101,66.7,1.0137
2102,64.7667,0.8013
2103,62.4,0.713
2104,68.2333,0.068
2105,67.9333,-0.1543
2106,66.1,0.0607
2107,68.2333,-1.0013
2108,68.3667,-1.29
2109,67.3667,-1.2807
2201,79.4,-0.9143
2202,78.0333,-1.3423
2203,77.4,-1.2423
2204,79.8333,-0.804
2205,78.4333,-1.0297
2206,78.4667,-0.9793
2207,79.4,-0.8347
2208,79.2333,-0.743
2209,78.9667,-0.876
2210,79.7333,-0.305
