name,acres,lon,lat,reporter,cause
INOWAK,606945.0,-157.0857,61.9827,Alaska Fire Service,Natural
SIMELS 732,365871.0,-157.2024,63.566,Alaska Fire Service,Natural
MAGITCHLIE,308120.0,-158.4191,63.6327,Alaska Fire Service,Natural
GEORGE RIV,101820.0,-157.2024,62.2993,Alaska Fire Service,Natural
732621 GAR,76300.0,-164.3693,65.4159,Alaska Fire Service,Natural
TITNUK CREEK,71760.0,-156.8848,61.04597,Southwest Area,Natural
LOGAN,49490.0,-120.16833333,35.14166667,Los Padres National Forest,Missing data/not specified/undetermined
MANY LAKES,47300.0,-159.5857,61.7659,Alaska Fire Service,Natural
WEST FORK NIXON,47060.0,-155.6275,63.49145,Southwest Area,Natural
LOKERN,47000.0,-119.6232,35.3944,Central California District,Power generation/transmission/distribution
BIG CREEK,44050.0,-143.3442,66.1525,Alaska Fire Service,Natural
FERNANDEZ                ,43700.0,-119.115,36.07305555,Tulare Unit,Missing data/not specified/undetermined
OH NO FIRE,41000.0,-80.6439,26.2989,Florida Forest Service,Equipment and vehicle use
PEREZ,38000.0,-105.11055755,34.54360961,New Mexico State Forestry Division,Missing data/not specified/undetermined
704629,37900.0,-158.6858,62.316,Alaska Fire Service,Natural
KOKHILA HI,36400.0,-155.086,66.4328,Alaska Fire Service,Natural
ROKETALOI,35490.0,-158.3024,63.8993,Alaska Fire Service,Natural
TIMBER CREEK,27900.0,-158.9217,61.05817,Southwest Area,Natural
HORTON,25000.0,-103.14027404,33.44722366,New Mexico State Forestry Division,Missing data/not specified/undetermined
LILLY,25000.0,-108.36833333,33.275,Gila National Forest,Natural
HOPPER,24800.0,-118.8509,34.4667,Central California District,Arson/incendiarism
MUD FIRE 7,24185.0,-151.186,67.0829,Alaska Fire Service,Natural
DR. BEAVER,20700.0,-156.946,63.621,Alaska Fire Service,Natural
NUYAKUK,20280.0,-157.9807,59.93358,Southwest Area,Natural
NARROWS,18186.0,-117.75,34.28333333,Angeles National Forest,Debris and open burning
TRAIL,15500.0,-157.1691,62.4326,Alaska Fire Service,Natural
