id,value
101,16.73
102,13.85
103,14.73
104,13.92
105,14.89
106,14.83
107,18.02
108,23.73
201,0.36
202,1.33
203,1.42
204,2.11
205,0.13
206,0.61
207,2.81
301,9.7
302,11.96
303,12.86
304,16.84
305,16.64
306,13.8
307,19.89
308,18.1
309,15.56
401,0.89
402,0.48
403,0.99
404,0.07
405,0.12
406,0.08
407,0.07
501,5.01
502,2.49
503,5.52
504,3.77
505,3.93
601,8.29
602,7.66
603,8.47
701,18.08
702,17.56
801,22.81
802,23.06
803,24.15
804,24.32
805,21.44
806,23.21
807,16.41
901,12.26
902,15.47
903,14.91
904,13.83
905,13.38
906,13.63
907,14.51
908,15.5
909,16.84
1001,3.79
1002,3.86
1003,3.97
1004,4.7
1005,2.83
1006,2.87
1007,1.23
1008,4.12
1009,2.17
1010,3.88
1101,9.2
1102,8.51
1103,10.08
1104,8.86
1105,10.9
1106,11.42
1107,14.03
1108,13.07
1109,14.86
1201,9.25
1202,8.5
1203,8.33
1204,11.51
1205,11.13
1206,10.11
1207,15.22
1208,14.61
1209,12.94
1301,6.86
1302,10.43
1303,13.21
1304,6.3
1305,8.65
1306,10.73
1307,6.97
1308,8.96
1309,10.09
1401,7.41
1402,13.6
1403,14.46
1404,9.61
1405,12.68
1406,11.61
1407,9.02
1408,11.22
1409,8.29
1501,16.73
1502,17.05
1503,13.54
1504,14.83
1601,14.96
1602,14.84
1603,14.6
1604,18.08
1605,17.84
1606,22.16
1607,16.56
1608,21.0
1609,25.68
1701,8.69
1702,9.51
1703,8.69
1801,16.63
1802,19.91
1803,21.24
1804,19.81
1805,17.02
1806,15.49
1807,11.07
1808,13.46
1901,9.79
1902,8.81
1903,5.94
2001,14.65
2002,12.74
2003,10.4
2004,11.04
2005,8.54
2006,8.58
2007,8.99
2008,8.57
2009,9.09
2010,10.62
2101,14.87
2102,14.36
2103,11.41
2104,13.79
2105,14.11
2106,13.54
2107,10.77
2108,14.13
2109,13.0
2201,13.43
2202,14.37
2203,17.41
2204,14.12
2205,14.54
2206,14.87
2207,17.62
2208,18.95
2209,20.51
2210,24.89
2301,13.55
2302,13.2
2303,12.65
2304,8.81
2305,12.55
2306,13.07
2401,5.24
2402,5.51
2403,4.62
2404,5.45
2405,4.77
2406,5.18
2407,4.19
2501,3.71
2502,9.31
2503,7.0
2505,7.41
2506,8.03
2507,6.02
2508,7.52
2509,13.01
2601,1.09
2602,1.13
2603,0.36
2604,0.06
2701,10.26
2702,9.46
2801,14.11
2802,17.01
2803,15.75
2901,1.82
2902,4.05
2903,4.9
2904,3.89
2905,3.42
2906,4.16
2907,2.43
2908,2.8
3001,9.54
3002,13.4
3003,11.22
3004,9.85
3005,11.01
3006,11.71
3007,11.46
3008,10.83
3009,9.69
3010,9.99
3101,17.3
3102,18.24
3103,15.74
3104,15.62
3105,13.62
3106,18.66
3107,19.04
3108,18.2
3201,6.27
3202,7.4
3203,11.48
3204,6.93
3205,8.01
3206,12.85
3207,6.18
3208,6.79
3209,12.15
3301,7.6
3302,8.3
3303,10.86
3304,8.76
3305,9.23
3306,9.8
3307,9.83
3308,11.49
3309,12.0
3310,11.48
3401,7.18
3402,11.46
3403,9.27
3404,7.44
3405,10.1
3406,10.68
3407,8.17
3408,9.15
3409,13.13
3501,3.65
3502,3.21
3503,1.89
3504,5.41
3505,1.15
3506,1.36
3507,1.29
3508,3.29
3509,2.54
3601,13.74
3602,16.31
3603,16.3
3604,10.85
3605,9.61
3606,9.91
3607,8.28
3608,10.13
3609,10.46
3610,9.93
3701,6.35
3801,18.62
3802,12.38
3803,12.18
3804,19.41
3805,15.2
3806,16.32
3807,16.47
3901,6.46
3902,7.86
3903,9.21
3904,6.28
3905,5.83
3906,9.42
3907,11.31
3908,9.88
3909,9.06
4001,13.05
4002,15.32
4003,15.63
4004,14.14
4101,4.48
4102,5.24
4103,6.75
4104,10.48
4105,1.7
4106,2.57
4107,5.97
4108,12.77
4109,6.11
4110,13.58
4201,0.87
4202,0.57
4203,2.23
4204,1.42
4205,2.97
4206,1.66
4207,1.25
4301,10.66
4302,10.91
4303,10.91
4401,19.37
4402,17.89
4403,16.34
4404,16.63
4405,17.41
4406,16.41
4501,7.43
4502,3.41
4503,4.14
4504,5.8
4505,5.32
4506,1.69
4507,1.29
4508,0.74
4509,3.5
4510,1.93
4601,11.75
4602,14.9
4603,14.27
4604,17.84
4605,16.04
4606,13.31
4701,14.35
4702,14.2
4703,15.08
4704,13.54
4705,13.26
4706,14.19
4707,13.43
4708,13.02
4709,12.25
4801,4.32
4802,4.5
4803,2.43
4804,2.86
4805,2.67
4806,4.44
4807,3.26
4808,2.4
4809,1.98
4810,1.52
